Title,Event Type,Date,Time,City,Organization,Rating,Volunteers Engaged,Min Duration,Max Duration,Duration String
Uniform Drive for Government School in Rajanpur,Community Service,Apr 14 2021 - Jun 02 2021,11:01 AM - 3:02 PM,,Tehreek Shaoor Pakistan,5,14,10,17,10 - 17 hours
Graphic Designer Volunteer for (T.S.P) Education Activities,Community Service,May 29 2021 - May 31 2021,2:04 AM - 8:09 PM,,Tehreek Shaoor Pakistan,3,18,6,11,6 - 11 hours
"Writing Competition Write For Nature"" 2021""","Events, Conferences",May 31 2021 - May 31 2021,6:00 PM - 12:00 PM,,World Wide Fund for Nature Pakistan,4,12,1,12,1 - 12 hours
Ramazan Campaign I Indus Hospital & Health Network,Community Service,Apr 25 2021 - May 30 2021,9:00 AM - 5:00 PM,,Indus Hospital & Health Network,5,15,10,20,10 - 20 hours
Beti-Media-Graphics and Video editing,Community Service,Mar 23 2021 - May 23 2021,2:04 PM - 12:35 PM,,Beti,3,18,3,13,3 - 13 hours
Palestine and Gaza Relief campaign,"Teaching, Workshops",May 21 2021 - May 21 2021,5:00 AM - 12:00 PM,,Alkhidmat Foundation Pakistan,3,19,5,13,5 - 13 hours
Palestine Needs YOU,Social Responsibility,May 20 2021 - May 20 2021,9:02 AM - 9:00 PM,,Pakistan Citizens Alliance,5,9,4,18,4 - 18 hours
Learn About Down Syndrome,"Teaching, Workshops",May 19 2021 - May 19 2021,3:00 PM - 4:00 PM,,Karachi Down Syndrome Program,5,7,10,12,10 - 12 hours
اُستاد کی زکوٰۃ علم کے نام,"Events, Conferences",Apr 02 2021 - May 18 2021,7:42 AM - 9:44 PM,,Tehreek Shaoor Pakistan,3,14,2,16,2 - 16 hours
Call for Influencers,"Events, Conferences",May 18 2021 - May 18 2021,9:00 AM - 5:00 PM,,Milkar,3,5,2,19,2 - 19 hours
Zakat Collection For Government School Education,"Events, Conferences",Apr 25 2021 - May 15 2021,8:38 AM - 9:38 PM,,Tehreek Shaoor Pakistan,5,19,1,16,1 - 16 hours
Ramadan Ration Drive,Community Service,Apr 21 2021 - May 15 2021,12:00 PM - 12:00 PM,,Nahfidu Forum,5,1,9,12,9 - 12 hours
Ramadan 2021,"Teaching, Workshops",May 03 2021 - May 15 2021,12:00 PM - 11:59 PM,,Pakistan Children's Heart Foundation,3,11,9,19,9 - 19 hours
Iftar booking for the Learning Hubs,Social Responsibility,Apr 23 2021 - May 14 2021,3:00 PM - 12:00 PM,,Sustainable Intervention Drive,4,16,4,18,4 - 18 hours
Uplift Pakistan Together - Fundraising,"Events, Conferences",Apr 24 2021 - May 14 2021,12:00 AM - 12:00 AM,,Baithak School Network,3,10,9,18,9 - 18 hours
Asaan iftaar,Social Responsibility,Apr 14 2021 - May 13 2021,5:00 PM - 7:00 PM,,Alkhidmat Foundation Pakistan,5,3,7,17,7 - 17 hours
Ramadan Campaign 2021 - KIOSK ACTIVITIES,"Teaching, Workshops",Apr 21 2021 - May 13 2021,8:17 AM - 3:17 PM,,Shifa Foundation,5,15,8,11,8 - 11 hours
Ramazan Dastarkhwan,"Teaching, Workshops",Apr 23 2021 - May 13 2021,6:40 PM - 7:15 PM,,Shahid Afridi Foundation,3,18,8,16,8 - 16 hours
EESAAR-E-RAMZAN 2021,"Teaching, Workshops",Mar 19 2021 - May 12 2021,9:00 AM - 7:00 PM,,Pakistan Citizens Alliance,4,17,8,11,8 - 11 hours
Aftari Sab Ke Liye,Community Service,Apr 14 2021 - May 12 2021,10:00 AM - 6:00 PM,,Million Smiles Foundation,5,1,2,20,2 - 20 hours
“Each Penny Matters – A Fundraising Campaign”,Community Service,Apr 22 2021 - May 12 2021,9:00 AM - 6:00 PM,,Seed Out,5,4,10,13,10 - 13 hours
Iftar Drive,Community Service,Apr 14 2021 - May 11 2021,5:00 PM - 6:00 PM,,Chadar,5,5,6,14,6 - 14 hours
Ration Drive 2021,Community Service,Apr 14 2021 - May 10 2021,2:00 PM - 5:00 PM,,Chadar,5,3,5,19,5 - 19 hours
Live Appeal by Indus Health Network UK,Social Responsibility,May 10 2021 - May 10 2021,10:00 PM - 11:00 PM,,Indus Hospital & Health Network,3,12,4,14,4 - 14 hours
Justajoo Ramadan 2021,"Events, Conferences",Apr 14 2021 - May 08 2021,3:00 PM - 12:00 AM,,Justajoo,4,10,10,14,10 - 14 hours
Ramzan Iftar Drive (افطار سب کے ساتھ),Community Service,May 04 2021 - May 04 2021,3:30 PM - 6:30 PM,Burewala,Step Up Burewala Foundation,1,14,2,17,2 - 17 hours
Ramadan Drive '21,Community Service,Apr 12 2021 - May 03 2021,4:00 PM - 6:30 PM,,Humans Of Burewala,4,5,1,14,1 - 14 hours
Mission Taqseem,"Events, Conferences",Apr 21 2021 - Apr 30 2021,12:00 AM - 12:00 PM,,Khuloos e Khidmat Pakistan,5,4,8,16,8 - 16 hours
Roshan Safar Ehsaas Program' 2021,"Events, Conferences",Apr 20 2021 - Apr 28 2021,6:00 AM - 8:00 PM,,Roshan Safar,5,2,7,19,7 - 19 hours
Milkar Banayen Mehfooz Pakistan | Panel Discussion,"Teaching, Workshops",Apr 27 2021 - Apr 27 2021,11:00 AM - 12:15 PM,,INFECTION PREVENTION AND CONTROL FOUNDATION,4,13,3,18,3 - 18 hours
Lectures Session | World Immunization Week 2021,Social Responsibility,Apr 26 2021 - Apr 26 2021,11:00 AM - 1:00 PM,,INFECTION PREVENTION AND CONTROL FOUNDATION,5,4,8,15,8 - 15 hours
Taleem Dost Campaign,"Events, Conferences",Apr 21 2021 - Apr 22 2021,9:30 AM - 5:30 PM,,READ Foundation,5,15,6,16,6 - 16 hours
Regal Food Drive,Community Service,Apr 21 2021 - Apr 21 2021,8:35 AM - 12:35 PM,,Shahid Afridi Foundation,5,20,2,13,2 - 13 hours
Gifts for Girls in Government Schools,Community Service,Apr 07 2021 - Apr 15 2021,8:45 AM - 4:45 PM,,Tehreek Shaoor Pakistan,3,1,9,11,9 - 11 hours
Packing/Dispatching of Zakat Appeal Letters,"Events, Conferences",Apr 12 2021 - Apr 14 2021,9:00 AM - 5:00 PM,,READ Foundation,4,8,7,20,7 - 20 hours
Ramzan rashan drive,Community Service,Apr 14 2021 - Apr 14 2021,10:00 PM - 8:00 PM,,SEEK FOUNDATION,4,3,2,19,2 - 19 hours
Microfinance Program,Social Responsibility,Apr 13 2021 - Apr 13 2021,11:00 AM - 1:00 PM,,National Forum for Environment and Health,5,1,9,17,9 - 17 hours
Graphic Deisgn,Social Responsibility,Oct 03 2020 - Apr 10 2021,9:00 AM - 3:00 PM,Islamabad,Project Break the Barriers,3,8,7,18,7 - 18 hours
Video Animation and Story Telling,Community Service,Sep 20 2020 - Apr 03 2021,9:00 AM - 3:00 PM,Islamabad,Project Break the Barriers,4,5,8,20,8 - 20 hours
Street Store,"Teaching, Workshops",Oct 15 2020 - Mar 31 2021,9:00 AM - 3:00 PM,Islamabad,Chadar,5,7,10,18,10 - 18 hours
Blood Drive,Community Service,Sep 03 2020 - Mar 31 2021,12:00 AM - 12:00 PM,Lahore,Sundas foundation,3,5,1,13,1 - 13 hours
Women Walkathon Pakistan,"Events, Conferences",Mar 27 2021 - Mar 27 2021,11:00 AM - 4:00 PM,,Connected Women Pakistan,4,19,5,11,5 - 11 hours
Uniform Distribution in Government Girls School,Social Responsibility,Mar 27 2021 - Mar 27 2021,12:20 AM - 2:00 PM,,Tehreek Shaoor Pakistan,5,17,8,15,8 - 15 hours
Social Media Volunteer,Social Responsibility,Jan 15 2021 - Mar 15 2021,9:00 AM - 5:30 PM,,Indus Hospital & Health Network,5,2,2,18,2 - 18 hours
World Consumer Rights Day,"Teaching, Workshops",Mar 15 2021 - Mar 15 2021,3:00 PM - 6:00 PM,,National Forum for Environment and Health,4,17,10,18,10 - 18 hours
Habib Jalib Awami Mela 2021,"Teaching, Workshops",Mar 13 2021 - Mar 13 2021,2:00 PM - 5:04 PM,,Habib Jalib Memorial Foundation,4,10,7,19,7 - 19 hours
Thrive 2021,Social Responsibility,Mar 08 2021 - Mar 10 2021,4:00 PM - 7:00 PM,,Connected Women Pakistan,4,17,4,13,4 - 13 hours
UNDP-Milkar's Webinar on Women's Day,Community Service,Mar 09 2021 - Mar 09 2021,10:00 AM - 11:30 AM,,Punjab SDGs Support Unit,4,20,8,19,8 - 19 hours
Members and Volunteers Registration Campaign,Community Service,Feb 04 2021 - Mar 04 2021,12:00 AM - 12:00 AM,,Musharaf Iqbal Foundation,5,12,5,11,5 - 11 hours
Call for Ambassadors for Dar-ul-Shaur,Community Service,Jan 13 2021 - Feb 28 2021,7:09 PM - 11:59 PM,,Initiative to Educate and Cure Pakistan - IECP,3,17,9,18,9 - 18 hours
13th CSR Summit & Award 2021,"Events, Conferences",Feb 25 2021 - Feb 25 2021,9:30 AM - 5:00 PM,,National Forum for Environment and Health,5,17,9,18,9 - 18 hours
Value Hub Thrift Shop,Community Service,Nov 20 2020 - Feb 20 2021,9:00 AM - 5:00 PM,,Sustainable Intervention Drive,4,20,5,17,5 - 17 hours
Business talks,"Events, Conferences",Feb 20 2021 - Feb 20 2021,6:00 PM - 7:30 PM,,Youth Engagement Fellowship,5,4,7,16,7 - 16 hours
Boost your Confidence with Self-Love,Social Responsibility,Feb 07 2021 - Feb 07 2021,8:00 PM - 9:00 PM,,School Psychological Services and Training,5,5,2,15,2 - 15 hours
Baithak Digital Volunteer,Community Service,Nov 17 2020 - Jan 31 2021,12:00 PM - 5:00 PM,,Baithak School Network,5,3,2,20,2 - 20 hours
School for Slums,"Teaching, Workshops",Dec 21 2020 - Jan 30 2021,12:00 AM - 12:00 AM,,Sajida and Rashid Foundation,2,4,5,15,5 - 15 hours
Winter Package Distribution,"Events, Conferences",Dec 30 2020 - Jan 30 2021,9:00 AM - 6:00 PM,,Alkhidmat Foundation Pakistan,3,6,7,17,7 - 17 hours
Winter Clothing Drive,Community Service,Jan 30 2021 - Jan 30 2021,2:30 PM - 3:00 PM,,Million Smiles Foundation,3,18,6,18,6 - 18 hours
AWT Dastarkhwan Visit & Serving to People,"Teaching, Workshops",Jan 30 2021 - Jan 30 2021,11:30 AM - 1:00 PM,,ALLAH Walay Trust,5,3,7,18,7 - 18 hours
Members and Volunteers Registration Campaign,Community Service,Dec 28 2020 - Jan 28 2021,9:00 AM - 5:00 PM,,Musharaf Iqbal Foundation,5,5,1,14,1 - 14 hours
Akhuwat Volunteer Program,Community Service,Dec 20 2020 - Jan 20 2021,12:00 PM - 3:00 PM,Lahore,Akhuwat Foundation,4,12,6,13,6 - 13 hours
SID Learning Hubs Mentorship Programme,Community Service,Oct 05 2020 - Jan 08 2021,10:00 AM - 4:00 PM,Lahore,Sustainable Intervention Drive,5,8,1,12,1 - 12 hours
Managing Emotions and Understanding Human Nature,"Events, Conferences",Jan 05 2021 - Jan 05 2021,8:00 PM - 9:00 PM,,School Psychological Services and Training,4,1,5,16,5 - 16 hours
Quilts Distribution by PCA,Community Service,Jan 02 2021 - Jan 02 2021,2:30 PM - 4:00 PM,,Pakistan Citizens Alliance,5,11,10,12,10 - 12 hours
Naiki Ki Roti,"Events, Conferences",Aug 25 2020 - Jan 01 2021,9:00 AM - 5:00 PM,Lahore,Hope Uplift Foundation,5,5,2,12,2 - 12 hours
Donation drive,Social Responsibility,Jul 24 2020 - Dec 31 2020,9:00 AM - 6:00 PM,Lahore,Pakistan Children's Heart Foundation,3,11,7,13,7 - 13 hours
'Champions of Equity' program,"Teaching, Workshops",Oct 01 2020 - Dec 31 2020,9:00 AM - 6:00 PM,Lahore,Teach For Pakistan,5,8,2,11,2 - 11 hours
"My Income, My Freedom","Events, Conferences",Sep 01 2020 - Dec 31 2020,9:00 AM - 5:00 PM,Lahore,Seed Out,3,18,9,15,9 - 15 hours
Counselling Sessions,Community Service,Oct 15 2020 - Dec 31 2020,9:00 AM - 6:00 PM,Lahore,Misal,5,13,6,14,6 - 14 hours
Winter Drive,Community Service,Dec 21 2020 - Dec 26 2020,9:10 AM - 5:10 PM,,The Humanity Adventurous,3,2,5,20,5 - 20 hours
Blood Donation Drive - Karachi,Social Responsibility,Dec 05 2020 - Dec 06 2020,11:00 AM - 4:00 PM,,Milkar,5,5,10,13,10 - 13 hours
#MilkarChampions Capacity Building Workshop,"Teaching, Workshops",Dec 05 2020 - Dec 05 2020,3:00 PM - 5:00 PM,,Milkar,3,4,9,18,9 - 18 hours
Wheel Chair Picnic,Social Responsibility,Dec 03 2020 - Dec 03 2020,12:00 PM - 3:00 PM,,Milkar,4,4,2,16,2 - 16 hours
Fundraising and Donations,Social Responsibility,Sep 01 2020 - Dec 01 2020,9:00 AM - 6:30 PM,Lahore,Transparent Hands,3,5,10,11,10 - 11 hours
Safe Pakistan Welfare Trust - Tasdeeq,"Teaching, Workshops",Oct 01 2020 - Nov 30 2020,9:00 AM - 6:00 PM,Karachi,Safe Pakistan Welfare Trust,2,13,5,14,5 - 14 hours
Donation Drive Volunteers,Social Responsibility,Sep 30 2020 - Nov 30 2020,9:00 AM - 6:00 PM,Lahore,Misal,4,5,5,13,5 - 13 hours
Donation for Covid 19 funding in Gilgit Baltistan,Social Responsibility,Nov 22 2020 - Nov 30 2020,9:00 AM - 5:00 PM,,Welfare Trust Yugo Baltistan,4,4,3,16,3 - 16 hours
MilKar Clothes Drive,Community Service,Oct 19 2020 - Nov 28 2020,9:00 AM - 6:00 PM,,Milkar,4,13,7,15,7 - 15 hours
Akhuwat Clothes Drive,Community Service,Sep 15 2020 - Oct 31 2020,9:00 AM - 5:00 PM,Lahore,Akhuwat Foundation,4,5,4,16,4 - 16 hours
Soldier of Education,Community Service,Oct 10 2020 - Oct 31 2020,9:00 AM - 5:00 PM,Lahore,Initiative to Educate and Cure Pakistan - IECP,3,13,8,15,8 - 15 hours
Ride to Support Aalam Bibi Trust,Social Responsibility,Oct 11 2020 - Oct 11 2020,6:00 AM - 8:00 AM,Lahore,Aalam Bibi Trust,4,17,6,11,6 - 11 hours
Emotional Support Program- Aghosh Homes,Social Responsibility,Oct 10 2020 - Oct 10 2020,9:30 AM - 4:30 PM,Sheikhupura,Alkhidmat Foundation Pakistan,4,5,3,11,3 - 11 hours
Summer Volunteer Program,Community Service,Aug 05 2020 - Sep 30 2020,10:30 PM - 3:00 PM,Lahore,SOS Childrens Villages Pakistan,4,1,5,14,5 - 14 hours
Mental Health Program During Covid-19,Social Responsibility,Aug 05 2020 - Sep 30 2020,10:30 AM - 12:00 PM,Lahore,SOS Childrens Villages Pakistan,4,17,7,18,7 - 18 hours
Rung Do Pakistan,"Events, Conferences",Jul 27 2020 - Sep 30 2020,12:01 AM - 11:59 PM,Karachi,World Wide Fund for Nature Pakistan,3,4,4,20,4 - 20 hours
COVID 19 Awareness in Schools,Community Service,Sep 16 2020 - Sep 21 2020,9:00 PM - 12:00 PM,Barkhan,Jandran Welfare Organization,3,18,6,19,6 - 19 hours
PEHOF Blood Donation Camp,Social Responsibility,Sep 20 2020 - Sep 20 2020,10:00 AM - 4:00 PM,Lahore,Preventive Education Health Oriented Foundation,4,4,6,20,6 - 20 hours
GROUNDBREAKING CEREMONY,Social Responsibility,Sep 12 2020 - Sep 12 2020,4:00 PM - 7:00 PM,Lahore,Pakistan Children's Heart Foundation,3,5,7,13,7 - 13 hours
Virtual Baghbaan Orientation,Community Service,Sep 04 2020 - Sep 04 2020,8:00 PM - 9:00 PM,Karachi,The Citizens Foundation,3,5,10,18,10 - 18 hours
Workshop on industrial Automation,"Teaching, Workshops",Sep 01 2020 - Sep 01 2020,2:00 PM - 3:00 PM,Karachi,Fusions Group,1,12,2,17,2 - 17 hours
Hygiene Kit Drive,Community Service,Aug 19 2020 - Aug 21 2020,9:00 AM - 6:00 PM,Karachi,Indus Hospital & Health Network,3,4,8,20,8 - 20 hours
Independence Day - Nationwide Plantation Campaign,Community Service,Aug 14 2020 - Aug 15 2020,9:00 AM - 7:00 PM,Lahore,Preventive Education Health Oriented Foundation,4,19,4,14,4 - 14 hours
Independence Day Celebrations with Street Children,"Teaching, Workshops",Aug 14 2020 - Aug 14 2020,11:00 AM - 1:30 PM,Lahore,Alkhidmat Foundation Pakistan,5,18,5,13,5 - 13 hours
Alkhidmat- Qurbani 2020,Community Service,Jul 31 2020 - Aug 03 2020,9:00 AM - 5:00 PM,Lahore,Alkhidmat Foundation Pakistan,3,14,6,17,6 - 17 hours
HEP-TALK,Community Service,Jul 28 2020 - Jul 28 2020,8:00 PM - 9:30 PM,Lahore,Alkhidmat Foundation Pakistan,4,18,4,20,4 - 20 hours
Diabetes A Wake Up Call for CVDs,"Teaching, Workshops",Apr 25 2020 - Apr 25 2020,2:00 PM - 6:00 PM,Lahore,Mir Khalil ur Rahman Foundation (MKRF),2,1,2,17,2 - 17 hours
